"front","back"
"Mục tiêu cốt lõi của an ninh mạng theo mô hình CIA là gì?","Confidentiality, Integrity, Availability"
"Tính bí mật trong an ninh mạng nhằm đảm bảo điều gì?","Chỉ người có quyền mới được truy cập thông tin"
"Tính toàn vẹn đảm bảo điều gì?","Dữ liệu chính xác, nhất quán, không bị sửa trái phép"
"Tính khả dụng liên quan trực tiếp đến yếu tố nào?","Dịch vụ, hệ thống sẵn sàng khi người dùng hợp lệ cần sử dụng"
"Authentication là gì?","Quá trình xác minh danh tính người dùng hoặc hệ thống"
"Non-repudiation có nghĩa là gì?","Không thể chối bỏ hành động đã thực hiện"
"Vulnerability là gì?","Điểm yếu trong hệ thống, phần mềm, quy trình hoặc con người"
"Threat là gì?","Tác nhân, sự kiện hoặc tình huống có khả năng gây hại"
"Attack là gì?","Hành động khai thác lỗ hổng để gây hại hoặc xâm nhập hệ thống"
"Mối quan hệ đúng giữa threat, vulnerability và attack là gì?","Threat lợi dụng vulnerability để thực hiện attack"
"Ví dụ nào sau đây là lỗ hổng bảo mật?","Mật khẩu yếu"
"Passive attack là dạng tấn công nào?","Nghe lén, thu thập thông tin nhưng không thay đổi dữ liệu"
"Active attack là dạng tấn công nào?","Thay đổi, phá hoại hoặc làm gián đoạn hệ thống"
"Malware là gì?","Phần mềm độc hại được thiết kế để gây hại hoặc xâm nhập hệ thống"
"Loại malware nào thường tự gắn vào file hoặc chương trình khác?","Virus"
"Worm khác virus chủ yếu ở điểm nào?","Worm lây lan qua mạng và có thể không cần tương tác trực tiếp của người dùng"
"Trojan Horse có đặc điểm nào?","Ngụy trang thành phần mềm hợp pháp để lừa người dùng cài đặt"
"Ransomware thường gây hại bằng cách nào?","Mã hóa dữ liệu nạn nhân và đòi tiền chuộc"
"Spyware có chức năng nguy hiểm chính là gì?","Bí mật thu thập thông tin người dùng"
"Rootkit nguy hiểm vì lý do nào?","Được thiết kế để che giấu bản thân hoặc malware khác"
"Mã hóa là quá trình gì?","Biến thông tin từ dạng đọc được thành dạng khó/không đọc được bằng khóa"
"Giải mã là quá trình gì?","Khôi phục bản rõ từ bản mã"
"Plaintext là gì?","Dữ liệu gốc trước khi mã hóa"
"Ciphertext là gì?","Dữ liệu đã được mã hóa"
"Mã hóa cổ điển thường dựa trên hai nguyên lý chính nào?","Thay thế và hoán vị"
"Caesar Cipher thuộc nhóm nào?","Mã hóa thay thế"
"Trong Caesar Cipher, khóa thường là gì?","Số vị trí dịch chuyển trong bảng chữ cái"
"Hoán vị trong mã hóa cổ điển là gì?","Thay đổi thứ tự ký tự nhưng không thay đổi bản thân ký tự"
"Điểm yếu phổ biến của mã hóa cổ điển là gì?","Dễ bị phân tích tần suất và kỹ thuật giải mã hiện đại"
"Mã hóa đối xứng sử dụng bao nhiêu khóa chính cho mã hóa và giải mã?","Một khóa dùng chung"
"Ưu điểm lớn của mã hóa đối xứng là gì?","Nhanh và hiệu quả"
"Nhược điểm lớn của mã hóa đối xứng là gì?","Khó trao đổi khóa an toàn"
"Thuật toán nào sau đây là mã hóa đối xứng?","AES"
"Mã hóa công khai còn gọi là gì?","Mã hóa bất đối xứng"
"Mã hóa công khai sử dụng loại khóa nào?","Một cặp public key và private key"
"Trong mã hóa công khai, public key có đặc điểm nào?","Có thể công khai"
"Private key trong mã hóa công khai phải được xử lý như thế nào?","Giữ bí mật"
